,ABIERTA 1,ABIERTA_LIMPIADA,ABIERTA_LIMPIADA_TEXT,sentimiento,polaridad,subjetividad,categoria_sentimiento,cluster
62,Conocímientos y relación con adultos mayores de la comuna,"['conocímientos', 'relación', 'adultos', 'mayores', 'comuna']",conocímientos relación adultos mayores comuna,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
63,"El mayor beneficio fué el incentivo en mi autoestima y el sentir que puedo más de lo pensado, a sido una gran y enriquesedora experiencia, mil gracias a todos los alumnos por su entrega cariñosa al igual que los profesores, organizadores, rector gracias mil por la linda experiencia que esperamos sigan los próximos años, gracias totales","['mayor', 'beneficio', 'fué', 'incentivo', 'autoestima', 'sentir', 'puedo', 'pensado', 'sido', 'gran', 'enriquesedora', 'experiencia', 'mil', 'gracias', 'alumnos', 'entrega', 'cariñosa', 'igual', 'profesores', 'organizadores', 'rector', 'gracias', 'mil', 'linda', 'experiencia', 'esperamos', 'sigan', 'próximos', 'años', 'gracias', 'totales']",mayor beneficio fué incentivo autoestima sentir puedo pensado sido gran enriquesedora experiencia mil gracias alumnos entrega cariñosa igual profesores organizadores rector gracias mil linda experiencia esperamos sigan próximos años gracias totales,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
64,Obtener nuevos conocimientos y participar en momentos de esparciento y entretención.,"['obtener', 'nuevos', 'conocimientos', 'participar', 'momentos', 'esparciento', 'entretención']",obtener nuevos conocimientos participar momentos esparciento entretención,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
65,Darle cuenta que puedo realizar cosas que no podía hacer .,"['darle', 'cuenta', 'puedo', 'realizar', 'podía', 'hacer']",darle cuenta puedo realizar podía hacer,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
66,Personalmente comprender que la vejez es una etapa que se puede vivir con mas clarida aprender a escuchar con paciensia tolerancia ,"['personalmente', 'comprender', 'vejez', 'etapa', 'puede', 'vivir', 'clarida', 'aprender', 'escuchar', 'paciensia', 'tolerancia']",personalmente comprender vejez etapa puede vivir clarida aprender escuchar paciensia tolerancia,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
67,"Fue un gran aporte a un todo ,de valor a la vida  a los conocimientos que entregan los profesionales como los alumnos","['gran', 'aporte', 'valor', 'vida', 'conocimientos', 'entregan', 'profesionales', 'alumnos']",gran aporte valor vida conocimientos entregan profesionales alumnos,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
68,Buena recordé actividades y contenidos pasados,"['buena', 'recordé', 'actividades', 'contenidos', 'pasados']",buena recordé actividades contenidos pasados,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
69,"El hacerte sentir un humano útil,respetado y considerado,Santo Tomas a sido un creador de tan linda iniciativa,aprendemos,nos comunicamos,lo pasamos super bien,los alumnos y docentes un 7,que sigan estas magníficas actividades que nos dignificar como adultos mayores que somos,muchas gracias Santo Tomas de La Serena","['hacerte', 'sentir', 'humano', 'útilrespetado', 'consideradosanto', 'sido', 'creador', 'tan', 'linda', 'iniciativaaprendemosnos', 'comunicamoslo', 'pasamos', 'super', 'bienlos', 'alumnos', 'docentes', '7que', 'sigan', 'magníficas', 'actividades', 'dignificar', 'adultos', 'mayores', 'somosmuchas', 'gracias', 'serena']",hacerte sentir humano útilrespetado consideradosanto sido creador tan linda iniciativaaprendemosnos comunicamoslo pasamos super bienlos alumnos docentes 7que sigan magníficas actividades dignificar adultos mayores somosmuchas gracias serena,"Sentiment(polarity=0.3333333333333333, subjectivity=0.6666666666666666)",0.3333333333,0.6666666667,Positivo,2
70,Segudad personal ,"['segudad', 'personal']",segudad personal,"Sentiment(polarity=0.0, subjectivity=0.3)",0,0.3,Neutro,1
71,El haber mejorado y capacitado en los temas en el cual partícipe  doy las gracias los instamos a seguir apoyándonos en estas actividades que son enriquecedora   Gracias a todos los jóvenes que son el futuro   A   Corina y todo su equipo gracias Y Felicitaciones ,"['haber', 'mejorado', 'capacitado', 'temas', 'partícipe', 'doy', 'gracias', 'instamos', 'seguir', 'apoyándonos', 'actividades', 'enriquecedora', 'gracias', 'jóvenes', 'futuro', 'corina', 'equipo', 'gracias', 'felicitaciones']",haber mejorado capacitado temas partícipe doy gracias instamos seguir apoyándonos actividades enriquecedora gracias jóvenes futuro corina equipo gracias felicitaciones,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
72,Muy bueno los felicito a todos por este lindo proyecto. ,"['bueno', 'felicito', 'lindo', 'proyecto']",bueno felicito lindo proyecto,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
73,En todo me senti bien aprendi  a ocupar  lo que me enseñaron los alunmos y los educadores   muy claro y entendible  sus enseñanzas  ,"['senti', 'bien', 'aprendi', 'ocupar', 'enseñaron', 'alunmos', 'educadores', 'claro', 'entendible', 'enseñanzas']",senti bien aprendi ocupar enseñaron alunmos educadores claro entendible enseñanzas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
74,²me ayudo a conocer diferentes aprendizajes en otros ambitos,"['²me', 'ayudo', 'conocer', 'diferentes', 'aprendizajes', 'ambitos']",²me ayudo conocer diferentes aprendizajes ambitos,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
75,Conocimientos y autoestima,"['conocimientos', 'autoestima']",conocimientos autoestima,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
76,Cosas nuevas que aprendimos,"['nuevas', 'aprendimos']",nuevas aprendimos,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
77,Conocer gente nueva. Ampliar mis conocimientos  relacionarme  con el medio y el sentirme que puedo con nuevos desafios   y principalmente habernos encontrado con Rosita Monardez  Amigas de adolesencia  Feliz y Contenta. Gracias,"['conocer', 'gente', 'nueva', 'ampliar', 'conocimientos', 'relacionarme', 'medio', 'sentirme', 'puedo', 'nuevos', 'desafios', 'principalmente', 'habernos', 'encontrado', 'rosita', 'monardez', 'amigas', 'adolesencia', 'feliz', 'contenta', 'gracias']",conocer gente nueva ampliar conocimientos relacionarme medio sentirme puedo nuevos desafios principalmente habernos encontrado rosita monardez amigas adolesencia feliz contenta gracias,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
78,"Me encantaron los talleres de fotografía,  huerta, gastronomía,  celulares .Además haber encontrado a mi amiga Silvia después de tantos años , y  haber compartido con 2 hermanas   y seguir una linda amistad con ellas , Claudia y Rosa.","['encantaron', 'talleres', 'fotografía', 'huerta', 'gastronomía', 'celulares', 'además', 'haber', 'encontrado', 'amiga', 'silvia', 'después', 'tantos', 'años', 'haber', 'compartido', '2', 'hermanas', 'seguir', 'linda', 'amistad', 'claudia', 'rosa']",encantaron talleres fotografía huerta gastronomía celulares además haber encontrado amiga silvia después tantos años haber compartido 2 hermanas seguir linda amistad claudia rosa,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
79,Mantenerme activa en todo los ámbitos conocer los cuidados uno requiere en esta etapa de vida 💛 ,"['mantenerme', 'activa', 'ámbitos', 'conocer', 'cuidados', 'requiere', 'etapa', 'vida', '💛']",mantenerme activa ámbitos conocer cuidados requiere etapa vida 💛,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
80,De gran valor para mi salud física y mental.  También de gran relevancia para la parte cognitiva,"['gran', 'valor', 'salud', 'física', 'mental', 'gran', 'relevancia', 'parte', 'cognitiva']",gran valor salud física mental gran relevancia parte cognitiva,"Sentiment(polarity=-0.1, subjectivity=0.2)",-0.1,0.2,Negativo,1
81,"Nuevas herramientas para tener mejor calidad de vida.  Más autonomía,cuidado de la salud, y recreación.","['nuevas', 'herramientas', 'tener', 'mejor', 'calidad', 'vida', 'autonomíacuidado', 'salud', 'recreación']",nuevas herramientas tener mejor calidad vida autonomíacuidado salud recreación,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
82,Trabajar en grupo y participar en los taller fue emocionante,"['trabajar', 'grupo', 'participar', 'taller', 'emocionante']",trabajar grupo participar taller emocionante,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
83,,[],,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
84,"Ampliar mi entorno social, conociendo personas y mejorar mis conocimientos en los distintos talleres. ","['ampliar', 'entorno', 'social', 'conociendo', 'personas', 'mejorar', 'conocimientos', 'distintos', 'talleres']",ampliar entorno social conociendo personas mejorar conocimientos distintos talleres,"Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)",0.03333333333,0.06666666667,Positivo,0
85,Aprender cosas nuevas para aplicar en mi vida diaria,"['aprender', 'nuevas', 'aplicar', 'vida', 'diaria']",aprender nuevas aplicar vida diaria,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
86,Haberme informado en lo referente a herencias.  También en recreación.,"['haberme', 'informado', 'referente', 'herencias', 'recreación']",haberme informado referente herencias recreación,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
87,Bienestar integral.  Mil gracias.,"['bienestar', 'integral', 'mil', 'gracias']",bienestar integral mil gracias,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
88,"Socializar, aprender, recrear","['socializar', 'aprender', 'recrear']",socializar aprender recrear,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
89,"Aprendí de movilidad motriz, también gracias al curso de cocina aprendí la utilización correcta del vino en las comidas","['aprendí', 'movilidad', 'motriz', 'gracias', 'curso', 'cocina', 'aprendí', 'utilización', 'correcta', 'vino', 'comidas']",aprendí movilidad motriz gracias curso cocina aprendí utilización correcta vino comidas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
90,Las motiva a realizar nuevos desafíos a hacer cosas diferentes,"['motiva', 'realizar', 'nuevos', 'desafíos', 'hacer', 'diferentes']",motiva realizar nuevos desafíos hacer diferentes,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
91,Me incentivaron a tener mas confianza en mi misma y aprender y valorar mi salud teniendo un cuidado adecuado,"['incentivaron', 'tener', 'confianza', 'misma', 'aprender', 'valorar', 'salud', 'cuidado', 'adecuado']",incentivaron tener confianza misma aprender valorar salud cuidado adecuado,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
92,,[],,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
93,,[],,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
94,Que aprendimos nuevas cosas en general,"['aprendimos', 'nuevas', 'general']",aprendimos nuevas general,"Sentiment(polarity=0.05000000000000002, subjectivity=0.5)",0.05,0.5,Positivo,1
95,"Enriqueció, animó, alegro la vida en los clubes en general","['enriqueció', 'animó', 'alegro', 'vida', 'clubes', 'general']",enriqueció animó alegro vida clubes general,"Sentiment(polarity=0.05000000000000002, subjectivity=0.5)",0.05,0.5,Positivo,1
96,"Entretención, confinza, ragaloneo, los estudiantes muy claros en informar","['entretención', 'confinza', 'ragaloneo', 'estudiantes', 'claros', 'informar']",entretención confinza ragaloneo estudiantes claros informar,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
97,Muy beneficioso para mi vida de salud mental,"['beneficioso', 'vida', 'salud', 'mental']",beneficioso vida salud mental,"Sentiment(polarity=-0.1, subjectivity=0.2)",-0.1,0.2,Negativo,1
98,Positivo,['positivo'],positivo,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
99,Positivo,['positivo'],positivo,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
100,Positivo,['positivo'],positivo,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
101,Positivo,['positivo'],positivo,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
102,Tener mas conocimiento en mi mismo y hacia los demas,"['tener', 'conocimiento', 'mismo', 'hacia', 'demas']",tener conocimiento mismo hacia demas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
103,,[],,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
104,La actividad física,"['actividad', 'física']",actividad física,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
105,Todas,['todas'],todas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
106,Todas las actividades,"['todas', 'actividades']",todas actividades,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
107,,[],,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
108,Todas las actividades,"['todas', 'actividades']",todas actividades,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
109,De haberse tomado en cuanta a la sociedad,"['haberse', 'tomado', 'cuanta', 'sociedad']",haberse tomado cuanta sociedad,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
110,Me ayudo mucho la participación,"['ayudo', 'participación']",ayudo participación,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
111,Para mi todas. Muchas gracias,"['todas', 'muchas', 'gracias']",todas muchas gracias,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
112,"yo me sentí muy realizada con lo que aprendí con todo lo que nos enseñaron las tomacitas ""Que Dios los bendiga""","['sentí', 'realizada', 'aprendí', 'enseñaron', 'tomacitas', 'dios', 'bendiga']",sentí realizada aprendí enseñaron tomacitas dios bendiga,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
113,Para mi ha sido positivo el haber compartido y aprendido a ser mas autónoma. Gracias,"['sido', 'positivo', 'haber', 'compartido', 'aprendido', 'ser', 'autónoma', 'gracias']",sido positivo haber compartido aprendido ser autónoma gracias,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
114,Todas fueron un aporte,"['todas', 'aporte']",todas aporte,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
115,"es mucho, agradecida por todo. Gracias","['agradecida', 'gracias']",agradecida gracias,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
116,Excelente todo,['excelente'],excelente,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
117,"Todo es muy bueno porque aprendemos mucho, estamos abiertos a aprender, tuvieron paciencia y mi nota es un 7","['bueno', 'aprendemos', 'abiertos', 'aprender', 'paciencia', 'nota', '7']",bueno aprendemos abiertos aprender paciencia nota 7,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
118,"Paciencia, cariñosos, acogida, alegre e hicimos buenas amistades, buenas relaciones","['paciencia', 'cariñosos', 'acogida', 'alegre', 'hicimos', 'buenas', 'amistades', 'buenas', 'relaciones']",paciencia cariñosos acogida alegre hicimos buenas amistades buenas relaciones,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
119,Fue muy entretenido y beneficioso para mi en esta edad,"['entretenido', 'beneficioso', 'edad']",entretenido beneficioso edad,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
120,Me gustaría que nos hicieran clases para usar el celular,"['gustaría', 'hicieran', 'clases', 'usar', 'celular']",gustaría hicieran clases usar celular,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
121,Espero que el próximo año nos enseñen uso del celular,"['espero', 'próximo', 'año', 'enseñen', 'uso', 'celular']",espero próximo año enseñen uso celular,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
122,Gracias Santo Tomás por ayudar a tener conocimiento,"['gracias', 'tomás', 'ayudar', 'tener', 'conocimiento']",gracias tomás ayudar tener conocimiento,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
123,Todas,['todas'],todas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
124,Todas,['todas'],todas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
125,me sirvió mucho para los adultos mayores,"['sirvió', 'adultos', 'mayores']",sirvió adultos mayores,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
126,Varios beneficios a favor nuestro,"['varios', 'beneficios', 'favor']",varios beneficios favor,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
127,Muchos beneficios a favor nuestro,"['beneficios', 'favor']",beneficios favor,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
128,Varios beneficios a favor nuestro,"['varios', 'beneficios', 'favor']",varios beneficios favor,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
129,,[],,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
130,Varios beneficios a favor nuestro,"['varios', 'beneficios', 'favor']",varios beneficios favor,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
131,"Nos beneficia la autoestima al considerarnos en actividades, es como volver a la juventud, gracias por las actividades que nos brindaron","['beneficia', 'autoestima', 'considerarnos', 'actividades', 'volver', 'juventud', 'gracias', 'actividades', 'brindaron']",beneficia autoestima considerarnos actividades volver juventud gracias actividades brindaron,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
132,Mucho beneficios sobre todo en la alimentación,"['beneficios', 'alimentación']",beneficios alimentación,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
133,Muchos beneficios sobre todo administración,"['beneficios', 'administración']",beneficios administración,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
134,La u Santo tomas nos apoya constante al adulto mayor,"['u', 'apoya', 'constante', 'adulto', 'mayor']",u apoya constante adulto mayor,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
135,El gran apoyo de Santo Tomas con los adultos mayores,"['gran', 'apoyo', 'adultos', 'mayores']",gran apoyo adultos mayores,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
136,La convivencia e interacción con otras personas,"['convivencia', 'interacción', 'personas']",convivencia interacción personas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
137,Fue un gran aporte el haber participado de todas estas actividades que fueron de mucha utilidad,"['gran', 'aporte', 'haber', 'participado', 'todas', 'actividades', 'mucha', 'utilidad']",gran aporte haber participado todas actividades mucha utilidad,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
138,"El aprendizaje, un muy buen trato es muy bueno que Santo Tomás aporte y cuiden al adulto mayor","['aprendizaje', 'buen', 'trato', 'bueno', 'tomás', 'aporte', 'cuiden', 'adulto', 'mayor']",aprendizaje buen trato bueno tomás aporte cuiden adulto mayor,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
139,Beneficios de Salud,"['beneficios', 'salud']",beneficios salud,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
140,"El conocer mas personas, aumentar mi red social felicitaciones","['conocer', 'personas', 'aumentar', 'red', 'social', 'felicitaciones']",conocer personas aumentar red social felicitaciones,"Sentiment(polarity=0.016666666666666666, subjectivity=0.03333333333333333)",0.01666666667,0.03333333333,Positivo,0
141,La confianza hacia mi persona creer que esta edad es la mejor,"['confianza', 'hacia', 'persona', 'creer', 'edad', 'mejor']",confianza hacia persona creer edad mejor,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
142,Me gusta mucho por su disponibilidad de todos para mi fue una gran alegría de que se preocupen por nosotros ,"['gusta', 'disponibilidad', 'gran', 'alegría', 'preocupen']",gusta disponibilidad gran alegría preocupen,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
143,Me siento bien porque hay mucha recreación,"['siento', 'bien', 'mucha', 'recreación']",siento bien mucha recreación,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
144,Conforme de las actividades porque el trato y la atención fue grata,"['conforme', 'actividades', 'trato', 'atención', 'grata']",conforme actividades trato atención grata,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
145,He aprendido mucho y tengo mas personalidad y confianza me gusta participar ,"['aprendido', 'personalidad', 'confianza', 'gusta', 'participar']",aprendido personalidad confianza gusta participar,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
146,Muy realizada felicito al personal,"['realizada', 'felicito', 'personal']",realizada felicito personal,"Sentiment(polarity=0.0, subjectivity=0.3)",0,0.3,Neutro,1
147,"Actividades de autonomía, autovalencia","['actividades', 'autonomía', 'autovalencia']",actividades autonomía autovalencia,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
148,Muy bueno me permite estar al día,"['bueno', 'permite', 'día']",bueno permite día,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
149,"Adquirir conocimientos para ordenar finanza, una mente positiva mas activa","['adquirir', 'conocimientos', 'ordenar', 'finanza', 'mente', 'positiva', 'activa']",adquirir conocimientos ordenar finanza mente positiva activa,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
150,"Comida saludable, ejercicios apropiados a la edad de cada una de nosotras","['comida', 'saludable', 'ejercicios', 'apropiados', 'edad', 'cada']",comida saludable ejercicios apropiados edad cada,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
151,"Conocer actividades que podamos hacer, gracias juventud por aportar a nuestra vida beneficios y pasar tiempo","['conocer', 'actividades', 'podamos', 'hacer', 'gracias', 'juventud', 'aportar', 'vida', 'beneficios', 'pasar', 'tiempo']",conocer actividades podamos hacer gracias juventud aportar vida beneficios pasar tiempo,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
152,Muy bien ayudó a compartir,"['bien', 'ayudó', 'compartir']",bien ayudó compartir,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
153,Todo bien para compartir,"['bien', 'compartir']",bien compartir,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
154,La invitación a continuar en el ejercicio y participación continua,"['invitación', 'continuar', 'ejercicio', 'participación', 'continua']",invitación continuar ejercicio participación continua,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
155,Conocer mas gente,"['conocer', 'gente']",conocer gente,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
156,,[],,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
157,Bueno todo fue para el adulto mayor,"['bueno', 'adulto', 'mayor']",bueno adulto mayor,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
158,Me ha beneficiado en estar ocupada y entretenida en lo social,"['beneficiado', 'ocupada', 'entretenida', 'social']",beneficiado ocupada entretenida social,"Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)",0.03333333333,0.06666666667,Positivo,0
159,Convivencia Social,"['convivencia', 'social']",convivencia social,"Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)",0.03333333333,0.06666666667,Positivo,0
160,todo lo que se hizo muy agradable gracias,"['hizo', 'agradable', 'gracias']",hizo agradable gracias,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
161,Salud física,"['salud', 'física']",salud física,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
162,,[],,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
163,Me permitió conocer los temas de salud y participar en las actividades,"['permitió', 'conocer', 'temas', 'salud', 'participar', 'actividades']",permitió conocer temas salud participar actividades,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
164,es estar socializar con gente,"['socializar', 'gente']",socializar gente,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
165,,[],,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
166,Salir de su hogar y juntar con sus pares,"['salir', 'hogar', 'juntar', 'pares']",salir hogar juntar pares,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
167,Adquirir mas conocimientos para nuestro cuidado de salud,"['adquirir', 'conocimientos', 'cuidado', 'salud']",adquirir conocimientos cuidado salud,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
168,,[],,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
169,La preocupación de Santo Tomas en los adultos mayores,"['preocupación', 'adultos', 'mayores']",preocupación adultos mayores,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
170,Le gusta porque les hace bien,"['gusta', 'hace', 'bien']",gusta hace bien,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
171,Preocupación y enseñanzas variadas,"['preocupación', 'enseñanzas', 'variadas']",preocupación enseñanzas variadas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
172,Tener mas conocimiento y adquirir otras redes de apoyo. Instancias de recreación,"['tener', 'conocimiento', 'adquirir', 'redes', 'apoyo', 'instancias', 'recreación']",tener conocimiento adquirir redes apoyo instancias recreación,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
173,Mucho aporte en conocimiento en mi vida y tener una mejor salud,"['aporte', 'conocimiento', 'vida', 'tener', 'mejor', 'salud']",aporte conocimiento vida tener mejor salud,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
174,Me sentí mucho mejor,"['sentí', 'mejor']",sentí mejor,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
175,Aprendí mucho con la universidad Santo Tomás,"['aprendí', 'universidad', 'tomás']",aprendí universidad tomás,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
176,Fue muy grato el aporte me gustó lo que hicieron,"['grato', 'aporte', 'gustó', 'hicieron']",grato aporte gustó hicieron,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
177,Me hizo mas ágil la mente,"['hizo', 'ágil', 'mente']",hizo ágil mente,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
178,Fue muy importante para nuestras vidas. Felicitaciones,"['importante', 'vidas', 'felicitaciones']",importante vidas felicitaciones,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
179,Conocimiento,['conocimiento'],conocimiento,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
180,Tuvimos participación en cada actividad desarrollada,"['participación', 'cada', 'actividad', 'desarrollada']",participación cada actividad desarrollada,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
181,Me gusto participe en todas las actividades,"['gusto', 'participe', 'todas', 'actividades']",gusto participe todas actividades,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
182,Mayor conocimiento,"['mayor', 'conocimiento']",mayor conocimiento,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
183,Fue mejor aporte haber participado en esta actividad,"['mejor', 'aporte', 'haber', 'participado', 'actividad']",mejor aporte haber participado actividad,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
184,"Todo lo que hicieron fue un gran aporte que enseñaron, varias cosas que no sabia se les da las gracias a todo el equipo","['hicieron', 'gran', 'aporte', 'enseñaron', 'varias', 'sabia', 'da', 'gracias', 'equipo']",hicieron gran aporte enseñaron varias sabia da gracias equipo,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
185,Aprender cosas nuevas y entretenidas,"['aprender', 'nuevas', 'entretenidas']",aprender nuevas entretenidas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
186,Beneficio de Salud,"['beneficio', 'salud']",beneficio salud,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
