,ABIERTA 1,ABIERTA_LIMPIADA,ABIERTA_LIMPIADA_TEXT,sentimiento,polaridad,subjetividad,categoria_sentimiento,cluster
16,"LA INTENCION ES POSITIVA DE INCORPORARA A LOS ADULTOS MAYORES A CONOCIMIENTO, LO NEGATIVO ES QUE LOS TALLERES SE DEMORAN 3 HORAS Y SOLO FUE TEORICA NO PRACTICA, SOBRE LA SALUD SE DEMOSTRO COMO TOMAR LA PRESION PERO NO SE HA PRACTICADO, EN RESUMEN LOS TALLERES SON TEORICOS Y NO PRACTICOS, FUE MUY POCO TIEMPO EL TALLER Y PENSANDO EN LOS ADULTOS MAYORES NO VAN A TENER MUCHA INFORMACION TEORICA","['intencion', 'positiva', 'incorporara', 'adultos', 'mayores', 'conocimiento', 'negativo', 'talleres', 'demoran', '3', 'horas', 'solo', 'teorica', 'practica', 'salud', 'demostro', 'tomar', 'presion', 'practicado', 'resumen', 'talleres', 'teoricos', 'practicos', 'tiempo', 'taller', 'pensando', 'adultos', 'mayores', 'van', 'tener', 'mucha', 'informacion', 'teorica']",intencion positiva incorporara adultos mayores conocimiento negativo talleres demoran 3 horas solo teorica practica salud demostro tomar presion practicado resumen talleres teoricos practicos tiempo taller pensando adultos mayores van tener mucha informacion teorica,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
17,"LE SIRVIO PARA APRENDER, PUDO APRENDER HACER VALER SU TRABAJO","['sirvio', 'aprender', 'pudo', 'aprender', 'hacer', 'valer', 'trabajo']",sirvio aprender pudo aprender hacer valer trabajo,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
18,COMUNICACIÓN Y CONTACTO CON MAS PERSONAS,"['comunicación', 'contacto', 'personas']",comunicación contacto personas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
19,AMPLIACIÓN DE CÍRCULO SOCIAL Y NUEVOS APRENDIZAJES,"['ampliación', 'círculo', 'social', 'nuevos', 'aprendizajes']",ampliación círculo social nuevos aprendizajes,"Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)",0.03333333333,0.06666666667,Positivo,0
20,AMPLIACIÓN DE CÍRCULO SOCIAL Y NUEVOS APRENDIZAJES,"['ampliación', 'círculo', 'social', 'nuevos', 'aprendizajes']",ampliación círculo social nuevos aprendizajes,"Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)",0.03333333333,0.06666666667,Positivo,0
21,MAYOR BENEFICIO SOCIAL,"['mayor', 'beneficio', 'social']",mayor beneficio social,"Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)",0.03333333333,0.06666666667,Positivo,0
22,AMPLIACIÓN DE CÍRCULO SOCIAL Y NUEVOS APRENDIZAJES,"['ampliación', 'círculo', 'social', 'nuevos', 'aprendizajes']",ampliación círculo social nuevos aprendizajes,"Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)",0.03333333333,0.06666666667,Positivo,0
23,BIENESTAR,['bienestar'],bienestar,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
24,BIENESTAR,['bienestar'],bienestar,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
25,COMUNICACIÓN Y CONTACTO CON MAS PERSONAS,"['comunicación', 'contacto', 'personas']",comunicación contacto personas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
26,AMPLIACIÓN DE CÍRCULO SOCIAL Y NUEVOS APRENDIZAJES,"['ampliación', 'círculo', 'social', 'nuevos', 'aprendizajes']",ampliación círculo social nuevos aprendizajes,"Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)",0.03333333333,0.06666666667,Positivo,0
27,BIENESTAR,['bienestar'],bienestar,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
28,BIENESTAR,['bienestar'],bienestar,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
29,COMUNICACIÓN Y CONTACTO CON MAS PERSONAS,"['comunicación', 'contacto', 'personas']",comunicación contacto personas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
30,COMUNICACIÓN Y CONTACTO CON MAS PERSONAS,"['comunicación', 'contacto', 'personas']",comunicación contacto personas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
